id,lat,lon,group,easting,northing,height
4W-11,40.59594667,-105.1402195,4W,488135.60300454,4493914.332570829,0.536
4W-12,40.59593383,-105.14021733,4W,488135.7843451725,4493912.907016099,0.653
4W-13,40.59593383,-105.14021733,4W,488135.7843451725,4493912.907016099,
4W-14,40.59594667,-105.1402195,4W,488135.60300454,4493914.332570829,0.962
4W-15,40.59594217,-105.14021967,4W,488135.58782485,4493913.833085911,
4W-21,40.59595267,-105.1402623,4W,488131.9826266103,4493915.004349313,
4W-22,40.59595283,-105.1402622,4W,488131.99111620715,4493915.022096111,1.534
4W-23,40.59594267,-105.14026333,4W,488131.8937069061,4493913.894470749,
4W-24,40.5959385,-105.14026317,4W,488131.9065076321,4493913.431571931,
4W-25,40.59593267,-105.14026817,4W,488131.4824113581,4493912.785105747,
4W-26,40.59592967,-105.14026283,4W,488131.93371470564,4493912.451380745,
4W-27,40.59593483,-105.1402633,4W,488131.89485898067,4493913.024213069,0.488
4W-31,40.595948,-105.1403037,4W,488128.4788203077,4493914.491552234,0.917
4W-32,40.595947,-105.140307,4W,488128.19942033914,4493914.38099543,1.045
4W-33,40.595947,-105.1403057,4W,488128.3094173159,4493914.380820151,1.55
4W-34,40.595947,-105.1403062,4W,488128.2671107869,4493914.380887566,
4W-35,40.5959425,-105.1403068,4W,488128.2155469868,4493913.881460637,
4W-36,40.59593167,-105.1403105,4W,488127.9005629815,4493912.6798106795,
4W-37,40.59593133,-105.1403042,4W,488128.43356522673,4493912.641220652,
4W-38,40.59594183,-105.1403065,4W,488128.2408123963,4493913.807049022,
4W-41,40.59595267,-105.1403517,4W,488124.41821990383,4493915.016403196,
4W-42,40.5959475,-105.140349,4W,488124.6457603894,4493914.442160047,0.742
4W-43,40.59594067,-105.1403488,4W,488124.6614745425,4493913.68399119,
4W-44,40.59593983,-105.14035,4W,488124.5597902381,4493913.590911576,
4W-45,40.5959335,-105.1403518,4W,488124.4063667014,4493912.888513338,
4W-46,40.59594067,-105.1403488,4W,488124.6614745425,4493913.68399119,
4W-47,40.59595267,-105.1403517,4W,488124.41821990383,4493915.016403196,
4W-51,40.59594817,-105.1403913,4W,488121.0667466621,4493914.522237126,0.44
4W-52,40.59594817,-105.1403913,4W,488121.0667466621,4493914.522237126,
4W-53,40.5959425,-105.1403907,4W,488121.11651098065,4493913.892776316,
4W-54,40.59593983,-105.1403915,4W,488121.0483479709,4493913.5965096,1.129
4W-55,40.59593367,-105.1403907,4W,488121.11494818755,4493912.912630958,
4W-56,40.595943,-105.1403895,4W,488121.21813514916,4493913.948115293,
4S-11,40.59565117,-105.1402137,4S,488136.0415267757,4493881.530776155,
4S-12,40.59561917,-105.1402258,4S,488135.01204737887,4493877.980351121,0.987
4S-13,40.595665,-105.1402153,4S,488135.90858994244,4493883.066145721,
4S-14,40.595651,-105.1402282,4S,488134.8146019819,4493881.513859706,0.954
4S-15,40.595636,-105.1402138,4S,488136.030383943,4493879.846893331,
4S-16,40.59564167,-105.140228,4S,488134.8298753058,4493880.47818658,2.589
4S-21,40.59566467,-105.1402658,4S,488131.6355542314,4493883.0363208745,0.804
4S-22,40.59566267,-105.1402618,4S,488131.9736542379,4493882.81377825,0.908
4S-23,40.59563067,-105.1402638,4S,488131.7987689822,4493879.261992348,2.537
4S-24,40.59563933,-105.1402597,4S,488132.1472154188,4493880.222714732,
4S-31,40.59564767,-105.14030633,4S,488128.2031656327,4493881.154755271,2.602
4S-32,40.59564083,-105.1403,4S,488128.73755887576,4493880.394649958,2.355
4S-33,40.595665,-105.1403025,4S,488128.5303003246,4493883.077898928,1.251
4S-34,40.59566833,-105.14030017,4S,488128.72803855943,4493883.44722056,
4S-41,40.595668,-105.1403495,4S,488124.5540007108,4493883.4172420325,
4S-42,40.59566533,-105.14034683,4S,488124.77944610897,4493883.120507298,1.096
4S-43,40.59564283,-105.14034733,4S,488124.7331584548,4493880.62303572,1.607
4S-44,40.59564683,-105.14035317,4S,488124.2397237132,4493881.067830308,2.522
4T-11,40.59575067,-105.1398913,4T,488163.3384441765,4493892.532058168,5.447
4T-12,40.595764,-105.1399033,4T,488162.32543555286,4493894.013324547,4.647
4T-21,,,4T,,,5.444
4T-22,40.59579867,-105.1398733,4T,488164.86994769087,4493897.857721882,4.644
4T-31,40.59583017,-105.139824,4T,488169.04693319876,4493901.34765114,5.45
4T-32,40.5958375,-105.1398447,4T,488167.29673212976,4493902.164075469,4.65
5W-11,40.59561783,-105.13942433,5W,488202.8269701103,4493877.723917249,0.425
5W-12,40.59561717,-105.139414,5W,488203.70091127895,4493877.649272117,
5W-13,40.59561533,-105.13941817,5W,488203.3477496994,4493877.445587603,1.312
5W-14,40.59561833,-105.13942567,5W,488202.7136759432,4493877.779597653,
5W-15,40.595619,-105.1394275,5W,488202.55895105656,4493877.854214003,
5W-16,40.59562133,-105.13942333,5W,488202.91219876497,4493878.112289329,
5W-17,40.59562183,-105.13943433,5W,488201.9815385106,4493878.16926405,
5W-18,40.595623,-105.13943883,5W,488201.60098357784,4493878.299739053,1.325
5W-19,40.59561933,-105.139432,5W,488202.178248446,4493877.89144752,
5W-110,40.59562167,-105.139431,5W,488202.2632732307,4493878.151057584,1.08
5W-21,40.59565283,-105.13940517,5W,488204.45431524666,4493881.60641097,1.08
5W-22,40.595653,-105.13939167,5W,488205.5966263981,4493881.623472838,0.871
5W-23,40.5956435,-105.1393938,5W,488205.41473037197,4493880.569241691,
5W-24,40.5956485,-105.139396,5W,488205.2294594619,4493881.1245450545,
5W-25,40.59565167,-105.13940267,5W,488204.6656449598,4493881.477314053,
5W-26,40.5956515,-105.13939517,5W,488205.30021580507,4493881.457439072,0.527
5W-27,40.59565417,-105.13940933,5W,488204.1025588901,4493881.755710592,0.708
5W-28,40.59565683,-105.13940967,5W,488204.0742578166,4493882.051020751,
5W-31,40.59568017,-105.1393735,5W,488207.1388262403,4493884.636956202,0.657
5W-32,40.59567883,-105.13937033,5W,488207.40681525896,4493884.487789312,
5W-33,40.5956825,-105.13937867,5W,488206.7017844001,4493884.896282692,1.609
5W-34,40.59568717,-105.13939017,5W,488205.72955104336,4493885.416201145,1.527
5S-11,40.59590167,-105.1393665,5S,488207.77003644727,4493909.222903172,
5S-12,40.59591783,-105.1393697,5S,488207.5021137853,4493911.0171198305,1.921
5S-13,40.595921,-105.1393717,5S,488207.3334445736,4493911.369263203,
5S-14,40.59590333,-105.1393615,5S,488208.1933936606,4493909.406496432,0.178
5S-15,40.59591267,-105.1393538,5S,488208.8465554708,4493910.442221493,1.106
5S-16,40.59591433,-105.1393558,5S,488208.6776209005,4493910.626752211,
5S-17,40.59590783,-105.1393603,5S,488208.2957199894,4493909.905843548,
5S-18,40.59590367,-105.1393628,5S,488208.08345634997,4493909.444411123,
5S-21,40.59593583,-105.1393965,5S,488205.23764607066,4493913.018740796,0.326
5S-22,40.59592567,-105.1394063,5S,488204.40665239654,4493911.892275946,
5S-23,40.59592817,-105.1394038,5S,488204.6186244647,4493912.1694453815,0.906
5S-24,40.59592217,-105.139402,5S,488204.76987356733,4493911.50319382,
5S-25,40.59591933,-105.139392,5S,488205.6155053844,4493911.186609319,
5S-26,40.59592267,-105.139389,5S,488205.8699315789,4493911.556953276,1.639
5S-27,40.59592467,-105.1393833,5S,488206.3525776105,4493911.77819326,0.942
5S-28,40.59593183,-105.1393905,5S,488205.7446215951,4493912.573930123,2.946
5S-31,40.59595,-105.139425,5S,488202.82866419497,4493914.595453569,
5S-32,40.595943,-105.1394298,5S,488202.4212911115,4493913.819084528,1.01
5S-33,40.59594017,-105.1394337,5S,488202.09080271167,4493913.5054721655,
5S-34,40.5959345,-105.1394178,5S,488203.43515389436,4493912.873961963,1.32
5S-35,40.59593867,-105.1394113,5S,488203.9858717537,4493913.335968387,0.919
5S-36,40.59593683,-105.1394157,5S,488203.61325086403,4493913.132314665,1.666
